type,event,date,cal_close,temp_close,force_close,city_work,schedule,check_in,open
CHECK_IN,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,0,False
CITY_WORKING,start,2021-05-22T04:00:00.000Z,0,1,0,1,0,0,False
TEMPORARY_CLOSING,end,2021-05-22T10:25:32.816Z,0,0,0,1,0,0,False
SCHEDULE,start,2021-05-22T10:30:00.000Z,0,0,0,1,1,0,False
CHECK_IN,start,2021-05-22T10:30:00.000Z,0,0,0,1,1,1,True
TEMPORARY_CLOSING,start,2021-05-22T14:07:25.689Z,0,1,0,1,1,1,False
TEMPORARY_CLOSING,end,2021-05-22T14:41:49.239Z,0,0,0,1,1,1,True
CHECK_IN,start,2021-05-22T14:41:49.239Z,0,0,0,1,1,2,True
TEMPORARY_CLOSING,start,2021-05-22T15:09:00.431Z,0,1,0,1,1,2,False
TEMPORARY_CLOSING,end,2021-05-22T17:16:42.246Z,0,0,0,1,1,2,True
CHECK_IN,start,2021-05-22T17:16:42.257Z,0,0,0,1,1,3,True
TEMPORARY_CLOSING,start,2021-05-22T17:54:59.928Z,0,1,0,1,1,3,False
TEMPORARY_CLOSING,end,2021-05-22T17:56:35.659Z,0,0,0,1,1,3,True
CHECK_IN,start,2021-05-22T17:56:35.663Z,0,0,0,1,1,4,True
TEMPORARY_CLOSING,end,2021-06-13T17:52:59.731Z,0,0,0,1,2,3,True
CHECK_IN,start,2021-06-13T17:52:59.735Z,0,0,0,1,2,4,True
TEMPORARY_CLOSING,start,2021-06-13T18:57:22.734Z,0,1,0,1,2,4,False
TEMPORARY_CLOSING,end,2021-06-13T18:59:00.848Z,0,0,0,1,2,4,True
CHECK_IN,start,2021-06-13T18:59:00.860Z,0,0,0,1,2,5,True
TEMPORARY_CLOSING,start,2021-06-13T19:38:50.235Z,0,1,0,1,2,5,False
TEMPORARY_CLOSING,start,2021-06-13T19:59:13.950Z,0,2,0,1,2,5,False
TEMPORARY_CLOSING,end,2021-06-13T20:08:50.215Z,0,1,0,1,2,5,False
CITY_WORKING,end,2021-06-13T21:00:00.000Z,0,1,0,0,2,5,False
CHECK_IN,end,2021-06-13T21:09:00.000Z,0,1,0,0,2,4,False
CHECK_IN,end,2021-06-13T21:09:00.000Z,0,1,0,0,2,3,False
CHECK_IN,end,2021-06-13T21:09:00.000Z,0,1,0,0,2,2,False
CHECK_IN,end,2021-06-13T21:09:00.000Z,0,1,0,0,2,1,False
CHECK_IN,end,2021-06-13T21:09:00.000Z,0,1,0,0,2,0,False
SCHEDULE,end,2021-06-13T21:59:00.000Z,0,1,0,0,1,0,False
SCHEDULE,end,2021-06-13T21:59:00.000Z,0,1,0,0,0,0,False
TEMPORARY_CLOSING,end,2021-06-13T21:59:00.000Z,0,0,0,0,0,0,False
CITY_WORKING,start,2021-06-14T04:00:00.000Z,0,0,0,1,0,0,False
SCHEDULE,start,2021-06-14T10:30:00.000Z,0,0,0,1,1,0,False
SCHEDULE,start,2021-06-14T10:30:00.000Z,0,0,0,1,2,0,False
CHECK_IN,start,2021-06-14T10:30:00.000Z,0,0,0,1,2,1,True
